scenario,year,cumulative_downloads,new_downloads_this_year,avg_daily_active_users,arpdau_usd,ad_revenue_usd,iap_sub_revenue_usd,web_d2c_revenue_usd,total_revenue_usd,ua_spend_usd,ops_and_team_usd,ebitda_usd,ebitda_margin_pct,implied_valuation_4x_revenue_usd
Conservative,1,5000000,5000000,100000,0.04,949000,365000,146000,1460000,1500000,1200000,-1240000,-84.9,5840000
Conservative,2,16000000,11000000,320000,0.05,3796000,1460000,584000,5840000,3300000,3000000,-460000,-7.9,23360000
Conservative,3,45000000,29000000,900000,0.06,12811500,4927500,1971000,19710000,8700000,8000000,3010000,15.3,78840000
Conservative,4,110000000,65000000,2200000,0.075,39146250,15056250,6022500,60225000,19500000,18000000,22725000,37.7,240900000
Conservative,5,220000000,110000000,4000000,0.09,85410000,32850000,13140000,131400000,33000000,34000000,64400000,49.0,525600000
Base,1,8000000,8000000,180000,0.05,2135250,821250,328500,3285000,2400000,1200000,-315000,-9.6,13140000
Base,2,30000000,22000000,650000,0.065,10023812,3855312,1542125,15421250,6000000,3500000,5921250,38.4,61685000
Base,3,90000000,60000000,1800000,0.08,34164000,13140000,5256000,52560000,18000000,10000000,24560000,46.7,210240000
Base,4,220000000,130000000,4000000,0.09,85410000,32850000,13140000,131400000,38000000,22000000,71400000,54.3,525600000
Base,5,450000000,230000000,7500000,0.1,177937500,68437500,27375000,273750000,70000000,40000000,163750000,59.8,1095000000
Aggressive,1,15000000,15000000,350000,0.06,4982250,1916250,766500,7665000,4500000,1500000,1665000,21.7,30660000
Aggressive,2,60000000,45000000,1400000,0.08,26572000,10220000,4088000,40880000,12600000,6000000,22280000,54.5,163520000
Aggressive,3,180000000,120000000,4200000,0.1,99645000,38325000,15330000,153300000,36000000,18000000,99300000,64.8,613200000
Aggressive,4,450000000,270000000,9500000,0.11,247926250,95356250,38142500,381425000,81000000,40000000,260425000,68.3,1525700000
Aggressive,5,1000000000,550000000,18000000,0.12,512460000,197100000,78840000,788400000,165000000,90000000,533400000,67.7,3153600000
